Tiempo (s),Sensor 1,Sensor 2,Sensor 3,Sensor 4 (ambiente)
0.01,21.75,27.31,20.06,20.44
1.67,21.87,28.44,20.25,20.37
3.34,21.87,29.56,20.69,20.37
5.04,22.0,30.69,21.56,20.44
6.74,22.0,31.81,21.87,20.44
8.43,22.12,32.94,21.94,20.44
10.12,22.31,33.94,22.12,20.37
11.8,22.5,34.94,22.25,20.44
13.51,23.12,35.94,22.37,20.44
15.2,23.5,36.88,22.56,20.44
16.89,23.87,38.0,24.06,20.44
18.58,24.0,39.13,25.75,20.44
20.27,24.12,40.19,27.06,20.44
21.95,24.31,41.25,28.12,20.44
23.65,24.56,43.44,29.12,20.44
25.34,24.75,45.31,30.06,20.44
27.03,24.94,46.63,30.94,20.44
28.71,25.19,47.38,31.62,20.44
30.41,25.81,48.19,32.38,20.5
32.1,26.0,49.06,33.0,20.44
33.79,26.19,50.0,33.63,20.44
35.48,26.56,51.0,34.56,20.5
37.17,27.37,52.13,35.31,20.44
38.85,28.31,53.25,35.94,20.44
40.54,29.87,54.44,36.56,20.44
42.23,30.56,55.5,37.06,20.44
43.9,31.5,56.56,37.06,20.37
45.59,32.38,57.56,37.13,20.37
47.29,33.19,58.69,37.88,20.37
48.97,33.94,59.75,38.81,20.44
50.66,34.69,60.75,39.56,20.44
52.35,35.31,61.69,40.06,20.44
54.04,35.94,62.5,40.63,20.37
55.72,36.56,63.44,41.19,20.37
57.42,37.25,64.19,41.75,20.37
59.1,37.75,65.0,42.31,20.44
60.79,38.19,65.75,43.0,20.37
62.46,38.56,66.37,43.69,20.44
64.16,38.81,67.0,44.25,20.44
65.84,39.13,67.69,44.63,20.5
66.91,39.13,67.69,44.63,20.5
68.59,39.88,69.12,45.5,20.5
69.65,39.88,69.12,45.5,20.5
71.34,41.75,70.69,44.94,20.5
72.4,41.75,70.69,44.94,20.5
74.09,44.25,72.19,43.88,20.5
75.15,44.25,72.19,43.88,20.5
76.83,46.19,73.56,42.38,20.56
78.52,47.25,74.44,41.63,20.56
80.2,48.31,75.0,40.88,20.56
81.89,49.25,75.44,40.75,20.56
82.95,49.25,75.44,40.75,20.56
84.64,50.63,76.19,40.56,20.56
85.69,50.63,76.19,40.56,20.56
87.39,51.94,76.94,40.31,20.5
88.45,51.94,76.94,40.31,20.5
90.13,53.13,77.62,39.56,20.5
91.2,53.13,77.62,39.56,20.5
92.89,54.06,77.94,39.0,20.5
93.95,54.06,77.94,39.0,20.5
95.62,54.75,78.37,39.5,20.5
96.69,54.75,78.37,39.5,20.5
98.38,55.19,78.94,40.63,20.5
99.44,55.19,78.94,40.63,20.5
101.12,55.38,79.5,42.44,20.5
102.19,55.38,79.5,42.44,20.5
103.87,55.56,80.0,45.25,20.56
104.93,55.56,80.0,45.25,20.56
106.62,55.94,80.06,47.44,20.56
108.29,56.19,79.94,48.44,20.56
109.99,56.38,79.94,49.38,20.56
111.66,56.5,80.0,50.38,20.56
112.74,56.5,80.0,50.38,20.56
114.42,56.56,80.0,51.63,20.62
115.48,56.56,80.0,51.63,20.62
117.16,56.75,80.0,52.63,20.62
118.22,56.75,80.0,52.63,20.62
119.9,56.81,79.94,53.44,20.69
120.96,56.81,79.94,53.44,20.69
122.64,57.25,79.69,53.69,20.69
123.71,57.25,79.69,53.69,20.69
125.39,57.44,79.62,54.31,20.69
126.46,57.44,79.62,54.31,20.69
128.13,57.44,80.0,54.88,20.75
129.2,57.44,80.0,54.88,20.75
130.87,57.63,79.75,54.88,20.75
131.95,57.63,79.75,54.88,20.75
133.63,57.94,79.44,54.75,20.75
134.68,57.94,79.44,54.75,20.75
136.37,58.19,79.19,54.75,20.81
138.05,58.31,79.0,54.75,20.75
139.12,58.31,79.0,54.75,20.75
140.8,58.5,78.75,54.69,20.75
141.86,58.5,78.75,54.69,20.75
143.53,58.81,78.37,54.44,20.75
144.61,58.81,78.37,54.44,20.75
146.28,59.13,77.94,54.0,20.75
147.97,59.19,77.56,53.94,20.75
149.04,59.19,77.56,53.94,20.75
150.71,59.44,77.12,54.31,20.75
151.78,59.44,77.12,54.31,20.75
153.46,59.63,76.69,54.44,20.75
154.52,59.63,76.69,54.44,20.75
156.21,59.69,76.31,54.56,20.69
157.88,59.56,76.25,54.94,20.69
158.95,59.56,76.25,54.94,20.69
160.63,59.44,76.06,55.44,20.75
161.7,59.44,76.06,55.44,20.75
163.38,59.31,76.0,55.63,20.81
164.43,59.31,76.0,55.63,20.81
166.12,59.25,75.81,55.63,20.81
167.17,59.25,75.81,55.63,20.81
168.86,59.25,75.69,55.63,20.75
169.92,59.25,75.69,55.63,20.75
171.6,59.38,75.5,55.56,20.81
173.29,59.44,75.19,55.56,20.75
174.35,59.44,75.19,55.56,20.75
176.02,59.5,74.87,55.75,20.81
177.72,59.44,74.62,55.69,20.81
178.78,59.44,74.62,55.69,20.81
180.45,59.63,74.25,55.38,20.81
181.52,59.63,74.25,55.38,20.81
183.21,59.69,73.94,55.44,20.81
184.27,59.69,73.94,55.44,20.81
185.94,59.63,73.62,55.13,20.81
187.01,59.63,73.62,55.13,20.81
188.69,59.56,73.31,55.19,20.87
189.76,59.56,73.31,55.19,20.87
191.44,59.5,73.06,55.0,20.87
192.5,59.5,73.06,55.0,20.87
194.18,59.19,72.75,55.06,20.94
195.23,59.19,72.75,55.06,20.94
196.93,59.13,72.44,55.44,20.94
197.98,59.13,72.44,55.44,20.94
199.66,59.06,72.19,55.69,21.0
200.73,59.06,72.19,55.69,21.0
202.41,59.0,71.94,55.75,21.0
203.47,59.0,71.94,55.75,21.0
205.16,58.81,71.87,56.06,21.0
206.21,58.81,71.87,56.06,21.0
207.89,58.44,71.75,56.56,21.06
208.96,58.44,71.75,56.56,21.06
210.64,58.0,71.44,56.81,21.12
211.71,58.0,71.44,56.81,21.12
213.39,57.94,71.25,56.81,21.19
214.45,57.94,71.25,56.81,21.19
216.12,57.06,70.69,55.31,21.19
217.19,57.06,70.69,55.31,21.19
218.86,56.13,70.06,54.5,21.25
219.93,56.13,70.06,54.5,21.25
221.62,55.0,69.5,53.69,21.25
222.68,55.0,69.5,53.69,21.25
224.36,54.56,69.0,52.94,21.31
225.43,54.56,69.0,52.94,21.31
227.1,54.0,68.5,51.75,21.31
228.17,54.0,68.5,51.75,21.31
229.85,53.5,67.94,50.5,21.31
231.54,53.38,67.69,50.06,21.37
233.23,54.19,67.56,49.0,21.37
234.91,54.81,67.44,47.75,21.37
235.97,54.81,67.44,47.75,21.37
237.65,55.63,67.19,46.13,21.37
238.72,55.63,67.19,46.13,21.37
240.4,56.31,67.0,44.63,21.44
242.08,56.63,66.75,43.69,21.44
243.77,56.88,67.25,44.13,21.44
244.83,56.88,67.25,44.13,21.44
246.51,57.31,68.81,44.5,21.44
247.58,57.31,68.81,44.5,21.44
249.26,57.56,70.56,44.63,21.44
250.32,57.56,70.56,44.63,21.44
252.01,57.69,71.62,44.75,21.5
253.08,57.69,71.62,44.75,21.5
254.76,57.81,72.12,44.56,21.5
255.82,57.81,72.12,44.56,21.5
257.5,58.06,72.19,44.5,21.5
258.57,58.06,72.19,44.5,21.5
260.25,58.25,72.06,44.69,21.44
261.94,58.25,71.69,44.69,21.44
263.0,58.25,71.69,44.69,21.44
264.68,58.25,71.44,43.94,21.37
265.74,58.25,71.44,43.94,21.37
267.42,58.38,71.06,42.88,21.37
268.49,58.38,71.06,42.88,21.37
270.18,58.31,70.94,42.5,21.37
271.86,58.31,70.37,42.38,21.31
272.92,58.31,70.37,42.38,21.31
274.6,58.25,69.37,41.56,21.31
275.67,58.25,69.37,41.56,21.31
277.36,58.06,69.5,40.94,21.31
278.42,58.06,69.5,40.94,21.31
280.11,57.94,69.87,41.0,21.37
281.17,57.94,69.87,41.0,21.37
282.85,57.88,69.37,41.06,21.37
283.91,57.88,69.37,41.06,21.37
285.6,57.75,68.56,40.94,21.37
